annual_income,academic_percentage,ip_count,submission_hour,is_weekend,flag_count,duplicate_flag_count,high_severity_flag_count,medium_severity_flag_count,document_count,missing_document_count,verified_document_ratio,avg_tamper_score,max_tamper_score,document_issue_count,applicant_age,has_device_fingerprint,scholarship_title,scholarship_location,scholarship_degrees,scholarship_competitiveness,target_grade,income_cap,label
592424.31,68.82,0,19,1,6,1,1,3,3,1,0.7168,0.0767,0.2094,1,16,1,International Students Support Contest 2022-2023,Pakistan,"Master, Bachelor, Course",0.3205,68.33,566670.0,suspicious
557494.21,60.45,1,19,0,3,0,1,0,4,0,1.0,0.0841,0.1562,2,21,1,,,,0.1925,65.0,599950.0,genuine
812977.34,92.23,4,1,0,11,4,1,2,0,4,0.4063,0.3681,0.6726,3,31,0,Erasmus Mundus Scholarships in Sustainable Forest and Nature Management,United Kingdom,,0.1925,65.0,599950.0,fake
521304.14,70.72,4,11,1,8,3,1,2,4,0,0.3789,0.1656,0.254,1,19,0,Silver Anniversary Recruitment Graduate International Fellowships in Canada,Canada,Phd,0.444,71.54,534560.0,fake
322226.57,69.79,0,20,1,0,0,0,0,4,0,0.822,0.1126,0.165,0,24,0,,,,0.1925,65.0,599950.0,genuine
395045.12,32.12,2,3,1,11,4,1,2,4,0,0.062,0.3914,0.5499,4,20,1,,,,0.1925,65.0,599950.0,fake
427094.02,57.64,5,18,0,9,2,1,2,4,0,0.5708,0.0178,0.0409,2,26,1,Euromasters Scholarships,United States of America,Master,0.319,68.29,567060.0,fake
933537.28,67.03,5,4,1,8,0,0,2,4,0,0.4595,0.01,0.2315,4,24,1,Strathclyde Business School MRes Scholarships in UK,United Kingdom,Master,0.319,68.29,567060.0,fake
464896.5,66.69,1,21,1,0,0,0,0,4,0,0.9001,0.0629,0.0629,0,18,1,UCB EU Transition Awards in UK,United Kingdom,"Master, Bachelor",0.319,68.29,567060.0,genuine
150664.29,88.13,0,21,0,2,0,0,0,4,0,0.9476,0.0601,0.0601,2,24,0,International No-Essay Support Competition Scholarships 2022-2023,United States of America,"Master, Bachelor, Course",0.3205,68.33,566670.0,genuine
224681.83,68.36,0,10,0,0,0,0,0,2,2,1.0,0.0634,0.1826,0,25,1,,,,0.1925,65.0,599950.0,genuine
754076.43,60.43,5,5,1,12,2,3,2,4,0,0.3252,0.1899,0.6355,3,17,0,International Student Support Contest 2022-2023,Pakistan,"Master, Bachelor, Course",0.319,68.29,567060.0,fake
292558.49,70.74,4,3,1,4,0,1,1,4,0,0.2645,0.1789,0.2233,1,30,1,Google Anita Borg Memorial Scholarships for International Students at Arizona State University,Pakistan,Bachelor,0.2385,66.2,587990.0,suspicious
580422.27,48.06,2,12,1,6,1,1,1,4,0,0.8698,0.0381,0.1903,3,16,1,,,,0.1925,65.0,599950.0,suspicious
